algo,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank,PeerNomination,ExactDollarPartition,EDP_rank
22,1,9,9,5,14,9,8,13,10,15,15,14,16,18,16,1,10,8,5,16,13,10,19,16,22,21,20,20,20,19,3,13,12,10,20,17,16,24,19,22,24,23,25,26,22,3,15,12,7,16,16,18,23,21,24,23,20,24,26,25
23,2,7,7,2,14,10,9,13,12,18,19,19,14,15,14,1,7,5,6,15,12,14,19,18,20,19,19,21,21,21,5,17,14,8,20,17,16,24,22,26,27,26,26,24,24,6,12,11,7,16,16,20,21,22,20,22,20,24,24,25
24,2,7,7,2,9,8,8,16,11,15,17,16,16,18,16,2,4,6,5,12,12,12,18,15,20,20,17,23,21,19,3,10,10,10,18,20,18,24,20,22,25,21,26,25,24,10,11,12,5,13,14,16,21,20,22,24,24,23,26,26
25,1,7,5,1,15,10,10,14,11,18,17,16,18,17,17,1,12,12,3,14,13,16,20,19,18,19,19,21,20,19,3,12,11,7,19,15,15,20,18,24,24,24,25,25,23,4,13,12,10,18,17,15,19,18,22,25,24,21,21,22
26,1,5,1,3,13,9,10,15,11,13,14,13,14,16,16,1,10,10,4,15,12,17,21,18,18,19,16,19,20,20,4,11,13,8,18,17,19,26,24,23,24,20,23,24,24,5,14,13,10,19,17,16,21,21,22,24,24,25,26,27
27,0,6,6,2,10,8,8,12,14,15,18,15,18,16,16,1,7,8,4,12,11,17,21,20,21,21,20,20,19,19,2,17,17,7,19,17,13,21,22,25,29,26,26,25,24,4,10,10,9,16,14,16,21,20,22,23,24,26,27,24
28,0,5,3,0,10,8,12,17,10,17,17,15,17,15,14,0,10,5,4,9,7,12,19,17,20,21,21,22,21,20,4,13,10,9,17,15,16,23,20,23,24,24,26,26,25,8,12,13,11,17,20,14,22,23,25,25,23,28,25,24
29,1,6,3,4,9,8,10,15,11,14,16,15,16,16,16,4,13,11,3,19,16,13,20,16,22,19,18,22,19,18,3,12,9,5,19,18,18,24,19,22,25,21,26,26,25,9,13,13,5,15,11,15,20,20,19,22,21,23,25,25
30,2,9,8,1,8,5,10,16,15,11,14,13,17,18,16,4,11,8,5,15,13,18,20,20,19,19,16,22,22,21,4,9,11,9,19,18,19,24,23,22,24,23,28,27,25,2,5,9,12,16,15,21,23,23,23,26,24,26,26,23
31,0,6,2,3,11,6,7,13,10,14,14,14,14,15,15,4,9,8,6,14,10,15,18,16,21,22,20,20,19,20,4,11,13,9,16,17,16,24,22,22,26,26,24,24,23,2,10,10,7,16,13,14,20,18,25,28,25,25,24,25
32,2,8,5,4,12,8,10,13,12,14,17,16,17,18,13,2,9,6,2,12,14,11,18,16,17,19,19,22,21,19,1,12,9,6,19,15,16,23,23,22,24,22,24,26,26,6,15,15,10,18,17,19,21,19,23,24,25,23,26,25
33,0,9,7,4,12,8,6,13,12,14,16,12,17,17,17,2,10,9,3,14,11,17,20,20,19,20,19,19,19,18,6,14,15,9,18,18,19,23,23,22,23,21,24,23,25,4,9,9,8,15,14,14,22,19,22,24,21,25,25,25
34,0,8,7,2,9,7,8,15,15,14,17,14,17,17,17,1,8,9,5,14,13,13,20,17,19,20,19,22,21,18,4,16,14,10,19,18,19,25,21,24,26,22,29,28,26,4,10,11,9,16,15,17,22,20,24,24,24,24,25,24
35,0,9,5,2,9,7,12,16,14,17,16,16,15,16,15,2,6,9,3,13,7,14,20,18,18,19,18,20,20,20,3,13,14,9,14,13,16,23,22,24,25,25,27,27,26,4,8,10,9,18,18,12,22,19,25,25,22,26,28,27
36,0,5,6,1,8,4,12,16,13,15,17,16,17,17,15,1,10,9,6,13,9,8,18,17,20,20,19,20,21,22,4,13,12,6,17,15,18,23,20,23,24,24,24,26,26,4,9,9,9,17,16,17,23,18,22,26,23,27,27,27
37,1,9,7,1,12,7,9,16,14,11,14,13,18,18,17,2,11,11,7,14,13,14,18,15,18,20,18,19,19,17,4,15,11,11,15,14,17,25,23,27,25,24,26,24,24,1,10,8,11,17,18,18,22,22,25,23,23,26,27,25
38,2,8,7,3,11,7,13,17,14,17,16,15,15,14,14,3,10,6,6,17,12,16,19,19,20,21,18,23,22,22,6,13,14,8,16,12,17,22,20,20,25,25,25,25,24,6,12,13,9,20,17,15,21,20,27,28,27,25,27,27
39,1,8,4,5,12,9,10,15,13,14,15,16,17,17,15,1,8,5,5,11,12,11,20,16,16,21,19,22,21,21,4,13,15,10,18,16,14,24,18,24,26,25,24,27,25,0,8,7,11,18,16,16,23,23,25,25,25,27,27,24
40,3,10,7,4,11,6,8,13,9,15,16,15,17,17,13,1,8,7,7,14,14,11,17,13,18,19,17,20,21,22,4,10,11,9,18,17,19,22,19,24,24,22,26,25,23,7,14,13,4,13,13,15,21,19,25,24,23,27,26,24
41,1,3,4,4,13,8,9,14,12,13,17,15,14,15,15,0,9,7,7,15,15,13,18,16,20,21,19,22,21,21,5,15,14,10,19,18,20,25,23,20,23,22,23,26,24,6,15,14,8,18,14,15,19,18,24,26,25,26,26,27
42,2,7,5,3,11,8,6,13,10,12,15,12,17,16,15,6,12,8,8,15,12,16,20,19,19,20,19,21,22,22,2,10,9,7,16,16,23,26,23,23,25,24,26,26,26,7,13,11,8,15,13,17,21,20,26,25,24,23,25,24
43,1,6,4,2,10,9,9,14,10,15,14,14,15,16,15,2,11,10,5,14,11,15,20,17,20,21,19,21,22,21,3,10,8,9,17,15,17,25,22,25,28,27,25,25,24,1,4,6,8,18,16,17,21,20,23,24,23,27,25,25
44,1,9,6,4,15,10,10,16,13,11,16,14,16,16,15,1,11,7,5,16,17,12,18,14,22,22,20,22,22,21,4,11,12,5,19,18,16,21,21,26,26,24,25,26,25,7,14,13,9,14,14,17,20,19,23,24,21,24,26,25
45,1,4,5,1,10,9,8,14,10,15,17,13,16,16,17,0,5,4,4,13,8,17,20,20,18,20,19,21,21,20,5,16,14,8,21,17,21,25,23,22,24,20,25,24,24,6,15,13,8,14,13,17,21,19,23,27,24,26,26,25
46,1,6,7,1,8,5,6,14,8,15,16,12,16,17,16,3,11,9,6,13,12,10,18,18,17,21,18,21,21,19,3,11,11,8,18,15,20,23,21,23,23,22,27,27,27,4,15,9,7,16,18,18,24,21,21,24,25,23,24,23
47,1,7,6,2,8,8,11,14,11,14,16,15,17,17,15,2,8,6,2,12,8,11,19,18,18,20,19,19,20,20,4,12,13,6,12,11,17,23,21,20,25,23,24,24,22,8,14,13,8,18,14,13,21,20,19,23,21,22,23,21
48,0,7,6,5,13,11,11,15,11,12,15,15,17,17,17,2,12,9,7,15,14,16,18,19,21,22,20,21,19,19,6,12,7,9,17,15,16,21,19,24,27,26,26,27,24,7,13,12,11,18,16,17,22,18,24,25,23,23,25,25
49,0,5,4,2,11,9,6,13,12,14,17,15,16,16,14,2,9,8,8,13,13,14,18,17,14,19,18,20,22,21,7,14,13,9,19,14,18,23,21,23,22,23,25,25,27,7,10,9,8,17,13,20,26,22,23,25,24,26,25,26
50,0,6,3,2,14,11,9,14,10,15,16,16,16,14,15,4,7,8,4,14,11,10,17,14,20,22,19,20,20,20,4,15,14,10,18,18,12,23,19,26,26,23,25,25,24,8,13,12,7,12,10,16,19,21,23,25,23,26,25,24
51,1,5,5,3,10,10,10,16,12,12,17,15,13,14,15,3,13,11,6,15,12,11,14,15,22,22,20,20,19,19,3,11,11,8,16,14,17,23,22,18,23,23,24,25,27,6,8,11,9,17,16,13,20,19,21,25,25,27,27,25
52,0,5,4,2,13,10,8,14,9,17,17,14,17,18,17,2,12,7,4,16,14,14,21,19,22,20,19,22,23,21,8,13,14,7,18,14,13,21,19,24,26,25,23,23,24,4,11,11,6,15,14,17,22,19,23,23,23,21,24,25
53,2,7,7,3,13,11,11,17,13,16,16,15,18,15,14,1,11,10,5,12,13,9,18,18,15,20,20,22,22,20,4,14,12,7,17,19,22,24,22,24,25,22,24,26,26,3,9,9,7,18,16,14,20,16,21,23,22,24,24,23
54,0,7,7,2,11,9,11,16,12,10,14,12,15,16,14,0,14,8,6,13,10,13,19,18,16,18,17,21,22,20,5,11,11,8,15,10,19,21,20,27,28,26,23,25,24,4,13,10,8,14,17,14,20,18,23,26,21,24,23,23
55,0,5,3,3,12,9,11,15,14,15,16,14,14,16,15,0,9,9,7,14,13,13,19,16,20,21,17,23,21,22,7,14,18,4,17,16,17,22,19,21,22,21,26,25,23,5,14,14,8,17,16,19,21,18,23,25,25,25,25,24
56,2,8,9,2,13,11,10,15,12,15,15,15,16,16,17,2,9,8,5,15,15,9,15,11,21,22,19,21,21,20,8,17,19,15,21,19,21,24,23,23,24,21,25,23,21,7,13,15,9,11,13,19,25,25,28,26,24,27,26,25
57,1,7,4,4,13,11,10,13,12,13,16,14,18,16,15,0,6,4,6,16,14,11,19,16,21,20,20,22,21,20,1,14,13,9,18,14,16,23,22,23,25,25,25,27,26,2,10,7,10,14,16,16,21,20,19,26,25,25,27,24
58,1,7,7,5,15,10,6,16,11,13,15,14,17,17,15,3,9,12,7,16,13,11,17,13,19,20,18,22,22,21,4,11,10,8,19,16,13,19,17,21,24,24,25,25,26,3,16,11,11,19,14,17,22,22,22,23,23,24,25,27
59,0,7,4,3,11,8,5,16,11,14,16,15,15,15,13,2,9,7,4,13,9,9,18,12,18,17,20,22,21,21,2,12,11,6,17,17,19,22,22,23,25,24,27,26,27,11,17,14,8,13,17,16,20,18,22,24,21,24,25,24
60,2,8,8,1,10,9,10,13,15,12,16,15,14,16,14,2,9,7,3,9,10,12,19,18,22,21,21,21,21,20,5,14,11,13,22,18,15,23,20,23,26,25,22,24,25,3,9,6,8,18,16,16,19,19,20,25,23,26,27,24
61,1,9,6,3,12,8,11,15,15,14,16,14,16,15,14,2,7,6,5,16,12,15,19,17,19,21,19,20,19,19,5,13,17,13,21,17,12,21,18,26,24,25,28,27,26,5,14,11,10,20,16,17,23,21,26,26,23,26,25,23
62,1,6,7,5,10,9,10,14,14,16,19,14,14,14,12,4,11,9,6,14,12,16,20,16,22,21,21,21,20,20,7,17,14,8,16,14,21,25,23,26,25,23,24,24,24,4,9,9,10,16,16,15,22,21,24,26,26,27,25,26
63,0,7,6,1,12,7,8,14,11,14,16,14,13,14,15,2,9,8,7,15,14,14,17,16,19,20,18,21,20,20,4,15,11,5,15,14,13,22,19,26,27,24,28,26,24,3,14,12,7,13,12,16,24,22,23,23,23,23,23,23
64,1,9,7,2,9,7,4,14,11,14,15,13,15,16,15,5,11,9,9,18,14,12,17,15,20,22,21,19,19,19,4,13,11,8,15,12,19,25,24,27,26,26,24,25,23,5,10,11,6,15,16,14,20,17,23,23,20,23,24,21
65,0,7,4,2,10,7,10,16,13,16,17,17,16,16,16,2,9,9,6,14,12,15,19,17,21,21,19,24,23,23,3,12,10,7,15,11,17,21,21,21,24,22,28,25,25,5,11,12,9,14,14,21,25,23,20,22,20,27,28,26
66,1,8,8,4,13,9,5,13,10,15,17,14,17,18,18,1,6,8,8,15,12,13,19,16,19,18,17,24,22,22,1,11,12,8,16,15,14,20,17,21,26,22,24,23,23,8,16,16,7,16,15,20,24,21,21,22,20,22,24,22
67,2,9,5,2,14,10,8,13,12,16,16,14,15,16,16,1,8,9,6,16,13,12,19,16,20,22,21,22,20,20,3,14,14,12,20,16,18,26,22,21,24,22,25,26,25,7,14,13,9,15,12,16,23,21,22,24,24,29,29,27
68,1,8,7,3,11,8,9,17,16,16,17,14,16,15,15,4,11,11,2,7,8,15,18,18,18,19,17,22,22,21,2,9,10,14,23,20,18,22,24,27,28,25,25,27,25,5,11,11,11,18,16,20,25,20,25,26,24,26,27,25
69,1,8,6,2,8,7,6,17,11,17,17,16,17,17,14,0,7,4,4,13,10,13,18,15,19,20,18,23,23,21,1,8,10,7,17,16,21,24,23,25,25,25,26,25,24,6,11,9,8,17,13,14,20,17,21,25,22,23,24,23
70,0,6,3,6,11,9,8,15,11,16,17,14,17,15,15,2,11,5,2,10,7,8,15,13,17,18,14,22,22,21,4,15,15,4,15,14,17,21,20,24,24,24,24,25,26,6,8,8,9,18,17,20,24,22,24,25,24,26,28,24
71,1,11,9,0,10,6,8,12,12,14,17,14,14,17,15,0,9,11,7,18,17,10,16,13,19,20,19,22,21,19,3,16,12,6,16,16,19,26,22,23,25,24,27,26,24,4,13,13,8,15,16,14,22,18,20,25,24,24,23,23
72,1,8,4,5,14,13,8,11,11,16,17,15,15,16,17,1,8,5,8,16,14,11,18,15,21,22,21,20,19,18,1,9,8,8,17,16,19,24,23,26,25,23,25,26,28,4,10,9,10,17,16,15,22,19,22,23,21,23,23,24
73,0,6,3,5,11,10,8,16,12,12,17,15,13,15,15,3,10,9,9,16,13,15,19,17,22,23,21,19,19,18,1,10,8,11,19,16,19,23,22,28,28,26,26,26,26,8,12,13,7,13,14,14,21,21,23,26,26,27,28,26
74,0,8,5,4,10,8,9,14,13,11,14,13,16,15,14,1,13,9,4,13,12,11,16,13,20,20,19,21,21,21,2,15,10,10,18,19,16,21,21,26,25,26,28,26,24,3,13,8,10,17,14,17,20,18,22,25,26,25,28,25
75,1,8,6,5,13,11,8,15,13,15,16,16,18,17,15,3,12,9,2,11,10,12,17,18,18,19,18,21,21,20,4,14,10,11,18,18,21,25,24,21,23,24,27,26,25,5,12,10,5,12,10,17,25,23,18,21,20,27,26,23
76,2,9,9,0,9,8,9,14,11,14,16,13,18,17,18,2,10,10,5,12,11,11,17,13,22,22,19,21,21,22,2,12,11,8,17,14,16,23,22,25,25,22,27,26,23,3,12,14,12,19,16,20,24,22,24,26,24,26,26,26
77,0,9,5,2,9,9,7,15,14,13,13,13,17,17,15,3,10,10,7,15,11,12,17,16,20,21,20,21,22,19,5,11,10,9,17,16,19,23,20,25,26,26,26,25,25,8,11,11,13,17,16,16,20,22,25,29,28,25,27,23
78,1,7,6,4,12,8,10,14,13,13,15,16,16,16,15,1,12,7,4,15,11,13,18,15,20,19,17,22,21,20,2,11,12,11,18,15,18,25,23,22,25,23,26,28,27,2,10,9,11,20,18,12,20,18,23,25,23,23,23,22
79,1,7,6,0,9,7,10,14,11,12,17,13,16,17,17,2,7,11,6,17,12,14,20,15,17,20,18,21,20,18,6,12,11,8,19,16,19,20,20,25,26,24,26,26,25,7,13,11,9,17,18,16,21,16,25,25,24,25,27,27
80,0,8,8,3,13,12,8,14,12,14,14,13,17,18,15,2,8,9,6,15,15,15,19,16,19,20,19,22,21,21,3,11,11,8,17,16,20,23,23,22,26,23,27,24,24,7,12,15,9,18,15,13,20,18,23,24,25,25,25,25
81,0,5,5,4,15,9,8,12,8,13,16,13,15,17,16,2,8,6,5,13,10,16,20,17,19,21,19,22,21,20,3,11,10,5,15,14,13,21,19,25,26,23,27,26,25,8,12,14,9,15,14,15,21,20,24,23,22,26,27,25
82,1,6,7,4,12,13,6,12,10,15,16,13,18,17,15,3,9,10,6,16,16,13,17,15,20,22,17,21,21,19,3,12,9,10,18,14,16,22,21,23,24,22,24,25,24,4,14,14,8,15,12,23,24,24,25,25,25,23,24,22
